Chunk Index,Chunk Text,RAKE Keywords,SpaCy Keywords,LSA Summary,LexRank Summary,Transformer Summary
0,"Training manual for ORGANIC AGRICULTURE Edited by Nadia SCIALABBA Climate, Energy and Tenure Division (NRC) - FAO This manual has been produced as part of the activities of the Climate, Energy and Tenure Division (NRC) of the Food and Agriculture Organization of the United Nations (FAO). It builds on the accumulated knowledge and expertise of the Organic Agriculture Programme and contributions from FAO technical units and field experiences with partner organizations and farmers. Organic agriculture is increasingly recognized as a viable approach to producing food in an environmentally sustainable way while meeting the challenges posed by a changing climate and growing global population.","growing global population, environmentally sustainable way, organic agriculture programme, organic agriculture edited, nadia scialabba climate","organic agriculture, energy and tenure division, nrc, training manual, nadia scialabba climate","Training manual for ORGANIC AGRICULTURE Edited by Nadia SCIALABBA Climate, Energy and Tenure Division (NRC) - FAO This manual has been produced as part of the activities of the Climate, Energy and Tenure Division (NRC) of the Food and Agriculture Organization of the United Nations (FAO). Organic agriculture is increasingly recognized as a viable approach to producing food in an environmentally sustainable way while meeting the challenges posed by a changing climate and growing global population.","Training manual for ORGANIC AGRICULTURE Edited by Nadia SCIALABBA Climate, Energy and Tenure Division (NRC) - FAO This manual has been produced as part of the activities of the Climate, Energy and Tenure Division (NRC) of the Food and Agriculture Organization of the United Nations (FAO). It builds on the accumulated knowledge and expertise of the Organic Agriculture Programme and contributions from FAO technical units and field experiences with partner organizations and farmers.","This manual has been produced as part of the activities of the Climate, Energy and Tenure Division (NRC) of the Food and Agriculture Organization of the United Nations. It builds on the accumulated knowledge and expertise of the Organic Agriculture Programme"
1,"Organic agriculture is increasingly recognized as a viable approach to producing food in an environmentally sustainable way while meeting the challenges posed by a changing climate and growing global population. Introduction Organic agriculture is a production system that sustains the health of soils, ecosystems and people. It relies on ecological processes, biodiversity and cycles adapted to local conditions, rather than the use of inputs with adverse effects. Organic agriculture combines tradition, innovation and science to benefit the shared environment and promote fair relationships and a good quality of life for all involved.","organic agriculture combines tradition, promote fair relationships, introduction organic agriculture, growing global population, environmentally sustainable way","organic agriculture, a viable approach, food, an environmentally sustainable way, the challenges","It relies on ecological processes, biodiversity and cycles adapted to local conditions, rather than the use of inputs with adverse effects.",Organic agriculture is increasingly recognized as a viable approach to producing food in an environmentally sustainable way while meeting the challenges posed by a changing climate and growing global population.,"Organic agriculture is increasingly recognized as a viable approach to producing food in an environmentally sustainable way. It relies on ecological processes, biodiversity and cycles adapted to local conditions, rather than the use of inputs with adverse effects."
2,"Organic agriculture combines tradition, innovation and science to benefit the shared environment and promote fair relationships and a good quality of life for all involved. FAO promotes organic agriculture as one viable option among different sustainable approaches to achieve food security and sustainable development in a rapidly changing world. Considerations for conversion to organic agriculture A farmer considering conversion to organic agriculture needs to assess several factors related to the farm, its fields and its surrounding environment before embarking on this process.","one viable option among different sustainable approaches, assess several factors related, organic agriculture combines tradition, fao promotes organic agriculture, organic agriculture needs","organic agriculture, conversion, tradition, innovation, science",FAO promotes organic agriculture as one viable option among different sustainable approaches to achieve food security and sustainable development in a rapidly changing world.,"Organic agriculture combines tradition, innovation and science to benefit the shared environment and promote fair relationships and a good quality of life for all involved.","FAO promotes organic agriculture as one viable option among different sustainable approaches. Organic agriculture combines tradition, innovation and science to benefit the shared environment and promote fair relationships."
3,"Considerations for conversion to organic agriculture A farmer considering conversion to organic agriculture needs to assess several factors related to the farm, its fields and its surrounding environment before embarking on this process. This includes an analysis of the farm’s characteristics and resources (soil quality, water availability, local climate), the socio-economic context (access to markets, family or community labour), risks (potential contamination from neighbouring conventional farms) and opportunities (availability of organic inputs, premium prices).","assess several factors related, community labour ), risks, local climate ),, premium prices )., neighbouring conventional farms","conversion, organic agriculture, considerations, a farmer, several factors","This includes an analysis of the farm’s characteristics and resources (soil quality, water availability, local climate), the socio-economic context (access to markets, family or community labour), risks (potential contamination from neighbouring conventional farms) and opportunities (availability of organic inputs, premium prices).","Considerations for conversion to organic agriculture A farmer considering conversion to organic agriculture needs to assess several factors related to the farm, its fields and its surrounding environment before embarking on this process.","A farmer considering conversion to organic agriculture needs to assess several factors related to the farm, its fields and its surrounding environment. This includes an analysis of the farm’s characteristics and resources."
4,"This includes an analysis of the farm’s characteristics and resources (soil quality, water availability, local climate), the socio-economic context (access to markets, family or community labour), risks (potential contamination from neighbouring conventional farms) and opportunities (availability of organic inputs, premium prices). The principles of organic agriculture Organic Agriculture is based on: 1. The principle of health – Organic agriculture should sustain and enhance the health of soil, plant, animal, human and planet as one and indivisible.","community labour ), risks, organic agriculture organic agriculture, health – organic agriculture, local climate ),, premium prices ).","an analysis, the farm’s characteristics, resources, soil quality, water availability","This includes an analysis of the farm’s characteristics and resources (soil quality, water availability, local climate), the socio-economic context (access to markets, family or community labour), risks (potential contamination from neighbouring conventional farms) and opportunities (availability of organic inputs, premium prices).","This includes an analysis of the farm’s characteristics and resources (soil quality, water availability, local climate), the socio-economic context (access to markets, family or community labour), risks (potential contamination from neighbouring conventional farms) and opportunities (availability of organic inputs, premium prices).","Organic Agriculture is based on: 1. The principle of health – Organic agriculture should sustain and enhance the health of soil, plant, animal, human and planet as one and indivisible."
5,"The principles of organic agriculture Organic Agriculture is based on: 1. The principle of health – Organic agriculture should sustain and enhance the health of soil, plant, animal, human and planet as one and indivisible. 2. The principle of ecology – Organic agriculture should be based on living ecological systems and cycles, work with them, emulate them and help sustain them. 3. The principle of fairness – Organic agriculture should build on relationships that ensure fairness with regard to the common environment and life opportunities.","organic agriculture organic agriculture, ecology – organic agriculture, fairness – organic agriculture, health – organic agriculture, living ecological systems","organic agriculture, the principle, fairness, the principles, organic agriculture organic agriculture",The principle of fairness – Organic agriculture should build on relationships that ensure fairness with regard to the common environment and life opportunities.,The principles of organic agriculture Organic Agriculture is based on: 1.,"Organic Agriculture is based on: The principle of health – Organic agriculture should sustain and enhance the health of soil, plant, animal, human and planet as one and indivisible. organic agriculture should build on relationships that ensure fairness with"
6,"2. The principle of ecology – Organic agriculture should be based on living ecological systems and cycles, work with them, emulate them and help sustain them. 3. The principle of fairness – Organic agriculture should build on relationships that ensure fairness with regard to the common environment and life opportunities. 4. The principle of care – Organic agriculture should be managed in a precautionary and responsible manner to protect the health and well-being of current and future generations and the environment.","ecology – organic agriculture, care – organic agriculture, fairness – organic agriculture, living ecological systems, ensure fairness","organic agriculture, fairness, 2. the principle, ecology, living ecological systems",The principle of fairness – Organic agriculture should build on relationships that ensure fairness with regard to the common environment and life opportunities.,"The principle of ecology – Organic agriculture should be based on living ecological systems and cycles, work with them, emulate them and help sustain them.","Organic agriculture should be based on living ecological systems and cycles, work with them, emulate them and help sustain them. Organic agriculture should build on relationships that ensure fairness."
7,4. The principle of care – Organic agriculture should be managed in a precautionary and responsible manner to protect the health and well-being of current and future generations and the environment. Soil fertility management and practices Organic agriculture emphasizes management practices that maintain and improve soil fertility without synthetic inputs. Crop rotation helps to sustain soil nutrients by growing different crop species in a sequence that balances nutrient uptake and return.,"practices organic agriculture emphasizes management practices, improve soil fertility without synthetic inputs, care – organic agriculture, growing different crop species, soil fertility management","organic agriculture, 4. the principle, care, a precautionary and responsible manner, the health and well-being",Soil fertility management and practices Organic agriculture emphasizes management practices that maintain and improve soil fertility without synthetic inputs.,The principle of care – Organic agriculture should be managed in a precautionary and responsible manner to protect the health and well-being of current and future generations and the environment.,Organic agriculture should be managed in a precautionary and responsible manner. Crop rotation helps to sustain soil nutrients by growing different crop species in a sequence.
8,Soil fertility management and practices Organic agriculture emphasizes management practices that maintain and improve soil fertility without synthetic inputs. Crop rotation helps to sustain soil nutrients by growing different crop species in a sequence that balances nutrient uptake and return. Green manures (e.g. legumes) and animal manures are other practices used to enhance soil organic matter and stimulate soil biological activity. Composting transforms organic residues into stable humus that improves soil structure and water retention.,"improve soil fertility without synthetic inputs, practices organic agriculture emphasizes management practices, composting transforms organic residues, enhance soil organic matter, stimulate soil biological activity","soil fertility management, organic agriculture, management practices, soil fertility, synthetic inputs",Composting transforms organic residues into stable humus that improves soil structure and water retention.,Soil fertility management and practices Organic agriculture emphasizes management practices that maintain and improve soil fertility without synthetic inputs.,Organic agriculture emphasizes management practices that maintain and improve soil fertility without synthetic inputs. Crop rotation helps to sustain soil nutrients by growing different crop species in a sequence that balances nutrient uptake and return. Composting transforms organic residues into stable
9,"Green manures (e.g. legumes) and animal manures are other practices used to enhance soil organic matter and stimulate soil biological activity. Composting transforms organic residues into stable humus that improves soil structure and water retention. Organic pest, disease and weed management Organic pest management builds on the enhancement of natural balances rather than the elimination of pests. Preventive measures include the choice of resistant crop varieties and the encouragement of beneficial organisms.","weed management organic pest management builds, composting transforms organic residues, stimulate soil biological activity, enhance soil organic matter, improves soil structure","green manures, (e.g. legumes, animal manures, other practices, soil",Composting transforms organic residues into stable humus that improves soil structure and water retention.,Green manures (e.g. legumes) and animal manures are other practices used to enhance soil organic matter and stimulate soil biological activity.,Composting transforms organic residues into stable humus that improves soil structure and water retention. Green manures (e.g. legumes) and animal manures are other practices used to enhance soil organic matter.
