"Chunk Index","Chunk Text","Summary","Keywords"
0,"Training manual for ORGANIC AGRICULTURE Edited by Nadia SCIALABBA Climate, Energy and Tenure Division (NRC) - FAO This manual has been produced as part of the activities of the Climate, Energy and Tenure Division (NRC) of the Food and Agriculture Organization of the United Nations (FAO). It builds on the accumulated knowledge and expertise of the Organic Agriculture Programme and contributions from FAO technical units and field experiences with partner organizations and farmers. Organic agriculture is increasingly recognized as a viable approach to producing food in an environmentally sustainable way while meeting the challenges posed by a changing climate and growing global population.","FAO’s manual harnesses organic farming wisdom to tackle climate and population issues sustainably.","organic agriculture, FAO, training manual, field experiences"
1,"Organic agriculture is increasingly recognized as a viable approach to producing food in an environmentally sustainable way while meeting the challenges posed by a changing climate and growing global population. Introduction Organic agriculture is a production system that sustains the health of soils, ecosystems and people. It relies on ecological processes, biodiversity and cycles adapted to local conditions, rather than the use of inputs with adverse effects. Organic agriculture combines tradition, innovation and science to benefit the shared environment and promote fair relationships and a good quality of life for all involved.","Organic farming nurtures soil and human health through ecological balance and local adaptation.","organic agriculture, ecological processes, biodiversity, local conditions"
2,"Organic agriculture combines tradition, innovation and science to benefit the shared environment and promote fair relationships and a good quality of life for all involved. FAO promotes organic agriculture as one viable option among different sustainable approaches to achieve food security and sustainable development in a rapidly changing world. Considerations for conversion to organic agriculture A farmer considering conversion to organic agriculture needs to assess several factors related to the farm, its fields and its surrounding environment before embarking on this process.","FAO champions organic farming for food security, requiring farmers to evaluate conversion factors.","organic agriculture, food security, FAO, farm assessment"
3,"Considerations for conversion to organic agriculture A farmer considering conversion to organic agriculture needs to assess several factors related to the farm, its fields and its surrounding environment before embarking on this process. This includes an analysis of the farm’s characteristics and resources (soil quality, water availability, local climate), the socio-economic context (access to markets, family or community labour), risks (potential contamination from neighbouring conventional farms) and opportunities (availability of organic inputs, premium prices).","Farmers weigh soil, water, and market factors for a successful shift to organic farming.","soil quality, water availability, market access, risks"
4,"This includes an analysis of the farm’s characteristics and resources (soil quality, water availability, local climate), the socio-economic context (access to markets, family or community labour), risks (potential contamination from neighbouring conventional farms) and opportunities (availability of organic inputs, premium prices). The principles of organic agriculture Organic Agriculture is based on: 1. The principle of health – Organic agriculture should sustain and enhance the health of soil, plant, animal, human and planet as one and indivisible.","Organic farming’s health principle links soil and human vitality, guiding farm resource analysis.","health principle, soil quality, farm resources, organic agriculture"
5,"The principles of organic agriculture Organic Agriculture is based on: 1. The principle of health – Organic agriculture should sustain and enhance the health of soil, plant, animal, human and planet as one and indivisible. 2. The principle of ecology – Organic agriculture should be based on living ecological systems and cycles, work with them, emulate them and help sustain them. 3. The principle of fairness – Organic agriculture should build on relationships that ensure fairness with regard to the common environment and life opportunities.","Organic farming blends health, ecology, and fairness for a balanced, sustainable approach.","health principle, ecological systems, fairness, organic agriculture"
6,"2. The principle of ecology – Organic agriculture should be based on living ecological systems and cycles, work with them, emulate them and help sustain them. 3. The principle of fairness – Organic agriculture should build on relationships that ensure fairness with regard to the common environment and life opportunities. 4. The principle of care – Organic agriculture should be managed in a precautionary and responsible manner to protect the health and well-being of current and future generations and the environment.","Organic principles foster ecological harmony, fair relations, and careful stewardship for future well-being.","ecological systems, fairness, care principle, future generations"
7,"4. The principle of care – Organic agriculture should be managed in a precautionary and responsible manner to protect the health and well-being of current and future generations and the environment. Soil fertility management and practices Organic agriculture emphasizes management practices that maintain and improve soil fertility without synthetic inputs. Crop rotation helps to sustain soil nutrients by growing different crop species in a sequence that balances nutrient uptake and return.","Organic care ensures soil vitality through crop rotation, safeguarding health for future generations.","care principle, soil fertility, crop rotation, management practices"
8,"Soil fertility management and practices Organic agriculture emphasizes management practices that maintain and improve soil fertility without synthetic inputs. Crop rotation helps to sustain soil nutrients by growing different crop species in a sequence that balances nutrient uptake and return. Green manures (e.g. legumes) and animal manures are other practices used to enhance soil organic matter and stimulate soil biological activity. Composting transforms organic residues into stable humus that improves soil structure and water retention.","Organic methods like crop rotation and composting enrich soil naturally, boosting fertility.","soil fertility, crop rotation, green manures, composting"
9,"Green manures (e.g. legumes) and animal manures are other practices used to enhance soil organic matter and stimulate soil biological activity. Composting transforms organic residues into stable humus that improves soil structure and water retention. Organic pest, disease and weed management Organic pest management builds on the enhancement of natural balances rather than the elimination of pests. Preventive measures include the choice of resistant crop varieties and the encouragement of beneficial organisms.","Organic pest control uses natural allies and composting to maintain soil and crop health.","pest management, beneficial organisms, green manures, composting"
10,"Organic pest, disease and weed management Organic pest management builds on the enhancement of natural balances rather than the elimination of pests. Preventive measures include the choice of resistant crop varieties and the encouragement of beneficial organisms (e.g. predators or parasites of pests). Where intervention is needed, only substances authorized in organic standards may be used (e.g. natural pesticides such as neem oil). Weed management relies largely on cultural practices such as mulching.","Organic pest and weed strategies employ resistant varieties and mulching for natural harmony.","pest management, resistant varieties, mulching, natural pesticides"
11,"Where intervention is needed, only substances authorized in organic standards may be used (e.g. natural pesticides such as neem oil). Weed management relies largely on cultural practices such as mulching, mechanical weeding or cover crops rather than synthetic herbicides. Livestock management Organic livestock management aims to ensure animal health and welfare while contributing to the agro-ecosystem. Animals must be fed with organic feed and have access to pasture or outdoor areas whenever possible.","Organic livestock thrive on natural feed and pasture, with weeds managed culturally.","livestock management, organic feed, pasture access, mulching"
12,"Livestock management Organic livestock management aims to ensure animal health and welfare while contributing to the agro-ecosystem. Animals must be fed with organic feed and have access to pasture or outdoor areas whenever possible. The use of antibiotics and hormones is strictly limited; instead, disease prevention relies on natural methods (e.g. good hygiene, balanced diets). Breeds should be chosen based on their adaptability to local conditions.","Organic livestock health hinges on natural prevention and local breeds, enhancing ecosystems.","disease prevention, local breeds, organic feed, animal welfare"
